quantization_bits,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy,avg_classifier_agreement
2,-10.0,144,0.43648265652126733,1.0,0.06468825624324376,0.13908125,0.15473680555555555
2,-5.0,144,0.3846656270345052,1.0,0.10282169367807603,0.17274097222222223,0.19516875
2,0.0,144,0.298113490125868,0.9999824219093322,0.16454998450353736,0.2266423611111111,0.25855833333333333
2,5.0,144,0.18376192559136284,0.7561234338817768,0.268843809246189,0.30352013888888885,0.35340625000000003
2,10.0,144,0.09020014987521702,0.5683408553308484,0.3556407554489043,0.3665673611111111,0.43294583333333336
2,15.0,144,0.02831121080186632,0.28946287018632844,0.4333172496408224,0.4089243055555556,0.4869916666666667
2,20.0,144,0.0028436842176649303,0.08113715756968735,0.4691131485419141,0.42523472222222225,0.5087541666666666
4,-10.0,144,0.43193399726019965,1.0,0.05113775202254243,0.1252986111111111,0.13801180555555556
4,-5.0,144,0.37237442050509983,1.0,0.0726852655384896,0.1425375,0.15835833333333332
4,0.0,144,0.27248680487738713,0.9999857178013324,0.10130873402684094,0.16308333333333333,0.1825798611111111
4,5.0,144,0.1688601993136936,0.7560610863040825,0.24273600589690933,0.2579854166666667,0.30023819444444444
4,10.0,144,0.08854287346733941,0.5700779188681698,0.34459256525668835,0.3248861111111111,0.3839909722222222
4,15.0,144,0.028462902492947046,0.3208254464684492,0.4625188327497906,0.3922597222222222,0.4699319444444444
4,20.0,144,0.0035571929931640625,0.08557563007492099,0.5390600059181452,0.4260791666666666,0.5136166666666666
8,-10.0,144,0.4310355297512478,1.0,0.04483976917819943,0.11937847222222223,0.13131597222222224
8,-5.0,144,0.3708995552910699,1.0,0.06026652724378634,0.13038055555555556,0.1441027777777778
8,0.0,144,0.26991806064181856,0.9999850586229324,0.07686619262676682,0.14067569444444444,0.15591666666666668
8,5.0,144,0.1690484870062934,0.7560448032572202,0.3020135336296839,0.2591625,0.33148819444444444
8,10.0,144,0.08937795325385199,0.5691019554893448,0.45898948413216406,0.3383111111111111,0.4522993055555556
8,15.0,144,0.029675311787923177,0.33224046132234114,0.6634801059133477,0.4373229166666667,0.6062965277777779
8,20.0,144,0.0038242862277560762,0.09624135560770389,0.8817522889520559,0.5348659722222222,0.765632638888889
